1,"$10\,000 Gold?",Steigt Gold auf 10.000 Dollar?
12501,"They center on the social policies that would accompany a broadly similar set of economic measures; and\, here\, the differences between the candidates are consequential.","Sie bestehen im Bereich der Sozialpolitik\, die die ähnlichen wirtschaftlichen Maßnahmen begleitet\, und hier sind die Unterschiede zwischen den Kandidaten erheblich."
37501,"First and foremost\, aiding and inciting the expression of popular anger against Japan gives China’s Communist Party leaders a powerful and readily available vehicle for rallying domestic support\, thereby legitimizing their own power.","""Wenn sie sich gegen Machtmissbrauch zur Wehr setzen\, verwenden die Menschen zunehmend einen neuen Begriff\, \,\,weiquan\"" (Verteidigung von Rechten)\"," um sich dem System entgegenzustellen."""
2,SAN FRANCISCO – It has never been easy to have a rational conversation about the value of gold.,"SAN FRANCISCO – Es war noch nie leicht\, ein rationales Gespräch über den Wert von Gold zu führen."
25151,"Even if we continue spending $11 billion to avoid an increase in greenhouse gases for a hundred years\, we would postpone global warming by less than one month by the end of the century – an achievement with no practical impact for anyone on the planet.","Die erste Herausforderung für Kopenhagen\, wenn es darum geht\, sein Ziel der Nullemissionen zu erreichen\, besteht in fehlenden kostengünstigen Alternativen für manche  CO2-Quellen\, insbesondere für Autos."
12502,"Whoever wins will face an economy growing at a sluggish 2% or less next year\, with a nagging risk of stalling completely.","Der Gewinner wird nächstes Jahr ein mageres Wirtschaftswachstum von höchstens 2% vorfinden\, das möglicherweise völlig zum Erliegen kommt."
3,"Lately\, with gold prices up more than 300% over the last decade\, it is harder than ever.","In letzter Zeit allerdings ist dies schwieriger denn je\, ist doch der Goldpreis im letzten Jahrzehnt um über 300 Prozent angestiegen."
25152,Why does the world consciously choose to help so ineffectively?,"In Dänemark gibt es bereits die weltweit höchsten Subventionen für Elektroautos\, da diese nämlich von der  bis zu 180 Prozent betragenden Zulassungssteuer befreit sind."
37502,"At the same time\, the demonstrations represent China’s experience of the world as an unequal place where the weak are inevitably bullied\, exploited\, and humiliated.","""Ein weiterer neuer Begriff\, \,\,zhi qing quan\"" (Anspruch darauf\", etwas zu wissen)\," hat ebenfalls Eingang in die öffentliche Diskussion gefunden."""
25153,"Could it be that environmental aid is not primarily about helping the world\, but about making us feel better about ourselves?","Im Fall des beliebtesten Elektroautos\, des Nissan Leaf\, beläuft sich diese Befreiung auf 63.000 Euro."
4,"Just last December\, fellow economists Martin Feldstein and Nouriel Roubini each penned op-eds bravely questioning bullish market sentiment\, sensibly pointing out gold’s risks.","Erst letzten Dezember verfassten meine Kollegen Martin Feldstein und Nouriel Roubini Kommentare\, in denen sie mutig die vorherrschende optimistische Marktstimmung hinterfragten und sehr überlegt auf die Risiken des Goldes  hinwiesen."
12503,"Unemployment will still be far too high\, and almost half of it will be hard-to-solve\, long-term joblessness – and even more if we count (as we should) the millions of Americans who have dropped out of the labor force.","Die Arbeitslosenquote wird immer noch viel zu hoch sein und zur Hälfte aus schwer vermittelbaren Langzeitarbeitslosen bestehen – und noch mehr\, wenn wir (wie wir sollten) die Millionen Amerikaner mitzählen\, die aus dem Arbeitsmarkt ausgeschieden sind."
25154,Winds of Vanity,"Doch bei lediglich 1.536 der insgesamt 2\,7 Millionen Autos in Dänemark handelt es sich um Elektroautos."
5,Wouldn’t you know it?,"Und es kam\, wie es kommen musste."
12504,The financial side of the economy will also be a source of concern.,Auch die Finanzseite der Wirtschaft wird Grund zur Besorgnis geben.
37503,"This mindset suggests that\, despite the panoramic city skylines\, the billboards\, and the flashy five-star hotels say otherwise\, China has a long way to go before it truly comes to understand and appreciate its actual accomplishments and status.","Die durch die Revolution in der Informationstechnologie inspirierten neuen Begriffe waren besonders häufig nach dem Ausbruch der SARS-Epidemie zu vernehmen\, die von staatlicher Seite so lange vertuscht worden war\, bis sie sich in ganz China und darüber hinaus verbreitet hatte."
6,"Since their articles appeared\, the price of gold has moved up still further.",Seit der Veröffentlichung ihrer Artikel ist der Goldpreis noch weiter gestiegen.
25155,"COPENHAGEN – Copenhagen\, Denmark’s capital\, wants to be the world’s first CO2-neutral city by 2025.","Außerdem besteht noch die Herausforderung\, die sich aus dem Wesen der Windenergie selbst ergibt: nämlich sicherzustellen\, dass die Stadt auch funktioniert\, wenn der Wind einmal nicht bläst."
7,"Gold prices even hit a record-high $1\,300 recently.",Jüngst erreichte er sogar ein Rekordhoch von 1.300 Dollar.
12505,"The fiscal deficit will continue to flirt with the 10%-of-GDP level\, adding to worries about the country’s medium-term debt dynamics.","Das Haushaltsdefizit wird sich weiterhin an der Grenze zu 10% des BIP bewegen\, was für die mittelfristige Schuldendynamik des Landes nichts Gutes erwarten lässt."
